536,Trae Young,PG,24,ATL,26.2,3,10.2,0.1,1.1
60,Malcolm Brogdon,PG,30,BOS,14.9,4.2,3.7,0.3,0.7
113,JD Davison,PG,20,BOS,1.6,0.8,0.9,0.2,0.2
400,Payton Pritchard,PG,25,BOS,5.6,1.8,1.3,0,0.3
449,Marcus Smart,PG,28,BOS,11.5,3.1,6.3,0.4,1.5
333,Patty Mills,PG,34,BRK,6.2,1.1,1.4,0.1,0.4
444,Ben Simmons,PG,26,BRK,6.9,6.3,6.1,0.6,1.3
86,Alex Caruso,PG,28,CHI,5.6,2.9,2.9,0.7,1.5
250,Carlik Jones,PG,25,CHI,2.9,0.7,0.9,0,0.3
21,LaMelo Ball,PG,21,CHO,23.3,6.4,8.4,0.3,1.3
302,Th�o Maledon,PG,21,CHO,6.7,2.8,3.5,0.3,0.8
445,Kobi Simmons,PG,25,CHO,1,0.8,1,0.4,0
450,Dennis Smith Jr.,PG,25,CHO,8.8,3.1,4.8,0.5,1.4
157,Darius Garland,PG,23,CLE,21.6,2.7,7.8,0.1,1.2
359,Raul Neto,PG,30,CLE,3.3,1,1.6,0.1,0.4
425,Ricky Rubio,PG,32,CLE,5.2,2.1,3.5,0.2,0.8
79,Facundo Campazzo,PG,31,DAL,1.3,0.3,1.1,0,0.8
125,Luka Don?i?,PG,23,DAL,32.4,8.6,8,0.5,1.4
365,Frank Ntilikina,PG,24,DAL,2.9,1.3,1.2,0.1,0.3
495,Kemba Walker,PG,32,DAL,8,1.8,2.1,0.2,0.2
533,McKinley Wright IV,PG,24,DAL,4.2,1.7,2.1,0.2,0.3
352,Jamal Murray,PG,25,DEN,20,4,6.2,0.2,1
452,Ish Smith,PG,34,DEN,2.5,1.3,2.3,0.2,0.2
44,Buddy Boeheim,PG,23,DET,1.6,0.6,0.4,0,0.2
106,Cade Cunningham,PG,21,DET,19.9,6.2,6,0.6,0.8
204,Killian Hayes,PG,21,DET,10.3,2.9,6.2,0.4,1.4
258,Cory Joseph,PG,31,DET,6.9,1.7,3.5,0.1,0.5
108,Stephen Curry,PG,34,GSW,29.4,6.1,6.3,0.4,0.9
388,Jordan Poole,PG,23,GSW,20.4,2.7,4.5,0.3,0.8
421,Ryan Rollins,PG,20,GSW,1.9,1,0.5,0.1,0.1
221,Trevor Hudgins,PG,23,HOU,1.8,0,0.6,0,0
361,Daishen Nix,PG,20,HOU,4,1.7,2.3,0.1,0.5
389,Kevin Porter Jr.,PG,22,HOU,19.2,5.3,5.7,0.3,1.4
