Rk;Player;Pos;Age;Tm;PTS;TRB;AST;BLK;STL
228;Joe Ingles;SF;35;MIL;6.9;2.8;3.3;0.1;0.7
229;Brandon Ingram;SF;25;NOP;24.7;5.5;5.8;0.4;0.7
230;Kyrie Irving;PG;30;TOT;27.1;5.1;5.5;0.8;1.1
230;Kyrie Irving;PG;30;BRK;27.1;5.1;5.3;0.8;1
230;Kyrie Irving;PG;30;DAL;27;5;6;0.6;1.3
231;Jonathan Isaac;PF;25;ORL;5;4;0.5;0.4;1.3
232;Jaden Ivey;SG;20;DET;16.3;3.9;5.2;0.2;0.8
233;Frank Jackson;PG;24;UTA;0;2;1;0;0
234;Isaiah Jackson;C;21;IND;7.2;4.5;0.8;1.5;0.5
235;Jaren Jackson Jr.;C;23;MEM;18.6;6.8;1;3;1
236;Justin Jackson;SF;27;BOS;0.9;0.7;0.4;0.2;0.2
237;Quenton Jackson;PG;24;WAS;6.2;0.9;1.7;0.1;0.4
238;Reggie Jackson;PG;32;TOT;10.2;2.1;3.4;0.1;0.7
238;Reggie Jackson;PG;32;LAC;10.9;2.2;3.5;0.1;0.7
238;Reggie Jackson;PG;32;DEN;7.9;1.8;3.1;0.1;0.6
239;LeBron James;PF;38;LAL;28.9;8.3;6.8;0.6;0.9
240;Ty Jerome;SG;25;GSW;6.9;1.7;3;0.1;0.5
241;Isaiah Joe;SG;23;OKC;9.5;2.4;1.2;0.1;0.7
242;Alize Johnson;PF;26;SAS;1.8;2.5;0.3;0;0.3
243;Cameron Johnson;PF;26;TOT;15.5;4.4;1.9;0.3;1.2
243;Cameron Johnson;PF;26;PHO;13.9;3.8;1.5;0.4;0.9
243;Cameron Johnson;PF;26;BRK;16.6;4.8;2.1;0.3;1.4
244;Jalen Johnson;SF;21;ATL;5.6;4;1.2;0.5;0.5
245;James Johnson;PF;35;IND;2.8;1.7;0.8;0.3;0.4
246;Keldon Johnson;SF;23;SAS;22;5;2.9;0.2;0.7
247;Keon Johnson;SG;20;POR;4.7;1.1;1.5;0.2;0.5
248;Stanley Johnson;SF;26;SAS;5.8;3.2;2.2;0.2;0.5
249;Nikola Joki?;C;27;DEN;24.5;11.8;9.8;0.7;1.3
250;Carlik Jones;PG;25;CHI;2.9;0.7;0.9;0;0.3
251;Damian Jones;C;27;TOT;3.5;3;0.4;0.5;0.2
251;Damian Jones;C;27;LAL;2.5;2.5;0.2;0.5;0.1
251;Damian Jones;C;27;UTA;4.6;3.5;0.6;0.5;0.3
252;Derrick Jones Jr.;SF;25;CHI;5;2.4;0.5;0.6;0.5
253;Herbert Jones;SF;24;NOP;9.8;4.1;2.5;0.6;1.6
254;Kai Jones;C;22;CHO;3.4;2.7;0.3;0.7;0.4
255;Tre Jones;PG;23;SAS;12.9;3.6;6.6;0.1;1.3
256;Tyus Jones;PG;26;MEM;10.3;2.5;5.2;0.1;1
257;DeAndre Jordan;C;34;DEN;5.1;5.2;0.9;0.6;0.3
258;Cory Joseph;PG;31;DET;6.9;1.7;3.5;0.1;0.5
259;Nikola Jovi?;PF;19;MIA;5.5;2.1;0.7;0.1;0.5
260;Johnny Juzang;SF;21;UTA;4.8;2.2;0.4;0.2;0.2
261;Mfiondu Kabengele;PF;25;BOS;1.5;2.5;0;0;0.5
262;Frank Kaminsky;C;29;TOT;2.5;1.4;0.9;0.1;0.2
262;Frank Kaminsky;C;29;ATL;2.7;1.4;0.8;0;0.2
262;Frank Kaminsky;C;29;HOU;1.8;1.6;1.1;0.3;0.1
263;Trevor Keels;SG;19;NYK;1;0.7;0;0;0
264;Luke Kennard;SG;26;TOT;9.3;2.7;1.5;0.1;0.5
264;Luke Kennard;SG;26;LAC;7.8;2.4;1.1;0.1;0.5
264;Luke Kennard;SG;26;MEM;11.3;3.1;2.3;0;0.5
265;Walker Kessler;C;21;UTA;9.2;8.4;0.9;2.3;0.4
266;Braxton Key;SF;25;DET;1.3;0.3;0;0;0
267;Louis King;SF;23;PHI;20;4;2;0;1
268;Corey Kispert;SF;23;WAS;11.1;2.8;1.2;0.1;0.4
269;Maxi Kleber;C;31;DAL;5.9;3.6;1.4;0.8;0.3
270;Nathan Knight;PF;25;MIN;3.7;1.5;0.3;0.2;0.3
271;Kevin Knox;PF-SF;23;TOT;6.6;2.8;0.5;0.2;0.4
271;Kevin Knox;PF;23;DET;5.6;2.6;0.4;0.3;0.3
271;Kevin Knox;SF;23;POR;8.5;3.3;0.9;0;0.5
272;Christian Koloko;C;22;TOR;3.1;2.9;0.5;1;0.4
273;John Konchar;SG;26;MEM;5.1;4.3;1.4;0.3;1.1
274;Furkan Korkmaz;SG;25;PHI;3.8;1.1;0.6;0.1;0.3
275;Luke Kornet;C;27;BOS;3.8;2.9;0.8;0.7;0.2
276;Vit Krejci;PG;22;ATL;1.2;0.9;0.6;0;0.2
277;Jonathan Kuminga;PF;20;GSW;9.9;3.4;1.9;0.5;0.6
278;Kyle Kuzma;PF;27;WAS;21.2;7.2;3.7;0.5;0.6
279;Anthony Lamb;SF;25;GSW;6.7;3.5;1.5;0.3;0.5
280;Jock Landale;C;27;PHO;6.6;4.1;1;0.4;0.2
281;Romeo Langford;SG;23;SAS;6.9;2.7;1.2;0.3;0.6
282;Jake LaRavia;PF;21;MEM;3;1.8;0.6;0.1;0.3
